"","ASV1","ASV3","ASV6","ASV7","ASV8","ASV9","ASV10","ASV11","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV21","ASV22","ASV23","ASV26","ASV27","ASV28","ASV29","ASV30","ASV31","ASV32","ASV33","ASV34","ASV35","ASV36","ASV38","ASV39","ASV40","ASV41","ASV42","ASV43","ASV44","ASV45","ASV46","ASV47","ASV48","ASV49","ASV50","ASV51","ASV52","ASV53","ASV54","ASV55","ASV57","ASV59","ASV61","ASV62","ASV63","ASV64","ASV66","ASV67","ASV68","ASV69","ASV70","ASV71","ASV73","ASV74","ASV75","ASV77","ASV78","ASV79","ASV82","ASV83","ASV84","ASV85","ASV86","ASV87","ASV88","ASV89","ASV91","ASV92","ASV93","ASV94","ASV95","ASV96","ASV97","ASV98","ASV99","ASV100","ASV101","ASV103","ASV104","ASV105","ASV106","ASV107","ASV109","ASV110","ASV111","ASV112","ASV114","ASV115","ASV116","ASV117","ASV118","ASV119","ASV120","ASV123","ASV124","ASV125","ASV126","ASV128","ASV129","ASV130","ASV131","ASV133","ASV134","ASV135","ASV136","ASV137","ASV138","ASV139","ASV140","ASV143","ASV145","ASV146","ASV147","ASV148","ASV149","ASV151","ASV152","ASV153","ASV155","ASV156","ASV157","ASV159","ASV160","ASV161","ASV162","ASV164","ASV166","ASV168","ASV169","ASV171","ASV172","ASV174","ASV175","ASV176","ASV177","ASV178","ASV179","ASV180","ASV181","ASV182","ASV183","ASV184","ASV185","ASV186","ASV188","ASV189","ASV190","ASV191","ASV192","ASV193","ASV194","ASV195","ASV196","ASV198","ASV199","ASV200","ASV201","ASV202","ASV203","ASV204","ASV206","ASV207","ASV208","ASV209","ASV211","ASV212","ASV214","ASV217","ASV218","ASV219","ASV220","ASV221","ASV222","ASV223","ASV224","ASV225","ASV226","ASV228","ASV231","ASV232","ASV233","ASV234","ASV235","ASV236","ASV237","ASV239","ASV240","ASV241","ASV242","ASV243","ASV244","ASV245","ASV246","ASV247","ASV248","ASV249","ASV250","ASV251","ASV253","ASV254","ASV255","ASV256","ASV257","ASV258","ASV259","ASV261","ASV262","ASV263","ASV264","ASV267","ASV268","ASV269","ASV270","ASV271","ASV272","ASV274","ASV275","ASV276","ASV277","ASV278","ASV279","ASV281","ASV282","ASV284","ASV285","ASV286","ASV287","ASV288","ASV289","ASV290","ASV291","ASV292","ASV293","ASV294","ASV295","ASV297","ASV298","ASV299","ASV300","ASV301","ASV302","ASV303","ASV304","ASV305","ASV306","ASV307","ASV309","ASV310","ASV311","ASV312","ASV313","ASV314","ASV315","ASV316","ASV317","ASV318","ASV319","ASV320","ASV322","ASV323","ASV324","ASV325","ASV326","ASV327","ASV328","ASV329","ASV330","ASV331","ASV332","ASV333","ASV334","ASV335","ASV336","ASV337","ASV338","ASV339","ASV340","ASV341","ASV342","ASV343","ASV344","ASV345","ASV346","ASV347","ASV348","ASV350","ASV351","ASV353","ASV354","ASV355","ASV356","ASV357","ASV360","ASV362","ASV363","ASV364","ASV365","ASV366","ASV367","ASV368","ASV369","ASV371","ASV372","ASV373","ASV374","ASV375","ASV376","ASV377","ASV378","ASV379","ASV380","ASV381","ASV382","ASV383","ASV384","ASV385","ASV386","ASV387","ASV389","ASV390","ASV393","ASV395","ASV397","ASV398","ASV399","ASV400","ASV401","ASV402","ASV403","ASV404","ASV405","ASV406","ASV407","ASV408","ASV409","ASV410","ASV411"
"T1-1",696,337,0,25,184,125,108,23,29,0,64,0,165,0,85,64,0,0,34,74,37,0,92,0,0,83,0,63,0,30,24,0,0,0,0,109,53,38,47,0,0,6,38,0,13,0,26,0,0,22,0,0,0,18,11,21,14,0,0,25,34,0,0,44,0,0,0,25,46,0,58,0,31,32,13,39,0,0,45,0,17,0,0,0,8,0,10,0,0,0,0,0,0,22,13,37,22,0,25,7,15,32,0,41,25,0,24,9,0,0,58,35,0,0,50,0,0,13,15,21,0,17,18,8,0,0,33,0,18,0,0,0,24,0,0,0,0,7,4,0,0,15,0,25,9,23,8,0,26,17,0,0,0,0,0,11,0,0,10,0,0,15,0,0,0,19,5,0,4,0,0,12,0,24,0,0,31,20,0,0,0,0,0,0,0,6,0,22,0,15,0,13,35,0,0,0,5,0,29,15,26,0,0,21,0,11,0,0,6,16,88,0,9,0,0,0,0,14,3,0,20,0,0,13,14,8,0,0,0,25,0,0,0,12,0,0,0,0,4,0,0,0,6,0,3,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,29,0,15,0,18,0,21,0,14,0,0,8,10,27,18,0,0,0,0,0,0,0,0,10,0,15,19,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,18,0,0,37,0,0,0,0,0,0,4,0,18,0,0,4,7,0,22,0,0,21,22,0,19,0,0,0,10,0,4,20,0
"T1-15",979,467,0,0,161,201,123,34,18,0,44,0,58,0,0,131,0,0,143,31,0,0,0,0,0,78,0,149,0,79,9,0,15,0,0,41,39,33,0,0,0,0,0,0,39,0,30,0,0,34,0,0,0,46,0,0,82,0,0,13,43,0,0,19,5,24,0,31,9,0,66,0,35,0,0,16,0,0,107,0,10,0,0,0,0,0,6,0,0,0,0,0,0,26,30,12,41,0,0,155,26,92,0,0,35,0,15,0,0,0,0,151,0,0,19,0,0,5,0,0,0,0,42,31,0,5,0,0,13,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,37,0,20,0,0,25,0,16,21,76,0,0,0,0,0,0,0,26,0,0,0,31,18,0,28,0,0,0,0,3,0,0,0,17,0,0,27,8,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,19,0,0,11,0,0,0,0,0,39,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,95,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"T1-3",956,444,0,40,1416,421,40,3,29,0,46,0,61,29,22,0,0,0,0,6,0,0,18,0,0,739,0,16,0,0,73,0,0,0,0,28,8,23,24,0,0,0,0,0,24,0,24,0,0,17,0,0,0,0,0,5,0,0,3,0,0,0,59,0,0,0,0,9,0,0,0,9,31,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,32,0,0,0,0,0,7,0,0,0,0,0,5,18,0,15,0,0,0,0,0,26,0,0,1,0,13,0,0,3,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,14,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,33,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1-6",1401,636,0,74,61,227,136,0,76,0,56,0,81,28,19,0,0,0,183,54,0,0,0,10,0,35,0,28,23,97,63,45,20,0,0,22,31,33,0,0,0,0,0,0,29,0,28,0,0,39,0,0,0,93,0,4,13,0,0,22,17,0,533,25,0,30,0,17,22,0,30,0,23,0,0,0,0,0,0,0,19,0,0,0,0,0,24,0,23,0,0,0,0,7,26,7,5,0,13,0,36,26,0,22,0,0,2,10,21,7,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,18,0,0,17,0,0,0,0,0,39,0,0,4,0,0,5,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,22,0,0,0,0,14,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,6,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0
"T1-S-1",88,39,479,0,11,0,22,159,0,269,0,118,0,0,0,11,182,142,0,0,0,86,0,93,72,5,43,7,0,9,5,0,0,57,8,1,0,0,0,38,90,0,0,33,8,76,0,39,127,0,0,49,59,0,0,0,16,79,67,7,10,132,0,0,69,9,21,0,14,102,0,19,8,8,0,0,0,61,4,42,10,25,0,49,0,33,14,32,0,20,31,31,0,0,0,2,15,59,0,0,0,0,19,0,0,9,0,0,0,0,2,0,0,36,0,0,33,0,0,0,26,0,0,0,27,23,0,26,0,0,69,22,0,34,58,0,24,0,0,33,15,0,13,0,0,0,0,14,0,0,0,0,0,0,25,0,22,18,0,8,14,0,29,0,9,0,0,0,0,11,0,11,2,0,0,4,0,0,8,8,0,9,0,16,20,0,9,0,23,0,23,2,0,19,0,9,15,0,0,10,10,13,12,0,7,0,9,0,0,0,3,13,14,0,0,0,22,15,24,5,0,0,0,0,0,0,0,16,26,0,6,13,0,0,3,15,7,15,13,0,13,12,0,13,0,0,0,0,6,0,12,0,0,0,5,10,12,24,13,0,0,18,0,0,0,0,9,0,0,0,0,6,13,2,8,0,0,18,1,12,0,8,22,0,10,4,22,0,4,0,9,0,9,3,0,0,18,0,0,12,0,0,13,15,0,19,0,0,12,0,0,0,0,9,0,6,0,2,12,0,14,0,0,0,20,0,4,0,4,0,0,6,0,0,0,0,6,11,10,15,0,0,0,12
"T1-S-2",115,39,367,8,38,9,58,159,4,166,0,197,0,0,6,31,149,88,0,0,0,40,0,81,122,0,54,22,0,18,0,0,28,105,0,8,0,0,0,36,84,0,0,24,4,81,0,22,148,0,0,77,65,0,0,20,0,23,35,0,0,265,0,0,26,33,25,0,0,40,0,30,0,0,0,0,0,30,0,26,19,34,0,31,0,36,0,24,0,25,48,18,0,0,0,0,16,33,0,0,0,0,14,0,0,33,2,0,0,0,0,0,0,34,0,0,29,0,0,0,28,0,0,0,22,35,0,29,0,0,123,0,0,28,125,12,18,29,4,43,23,0,17,0,0,0,0,28,0,0,0,0,0,0,44,0,18,15,0,0,7,0,12,18,10,0,0,0,0,0,0,0,42,0,0,0,0,0,15,0,0,0,0,8,20,0,0,0,21,0,0,13,0,23,0,29,26,0,0,0,10,0,17,0,12,16,17,0,0,7,0,15,0,0,0,0,36,20,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,14,15,12,20,13,0,11,0,0,16,0,0,0,0,18,0,23,0,24,2,0,35,6,19,5,15,0,8,0,0,0,0,9,0,0,0,0,0,15,0,0,0,0,13,0,22,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,22,0,0,8,0,0,12,0,0,13,0,41,0,0,0,0,0,0,0,20,0,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,0,0,0,0,0
"T13-1",69,33,0,0,91,61,69,27,55,0,75,0,156,0,114,23,0,0,0,129,87,0,148,0,0,62,0,59,0,7,50,0,0,0,0,192,49,81,127,38,0,35,50,0,0,0,59,0,17,0,0,0,0,0,58,16,0,0,0,41,0,0,0,52,0,0,0,55,45,0,151,0,26,85,0,86,0,0,0,0,0,0,0,0,18,0,46,0,0,0,0,0,0,0,32,7,0,0,36,0,0,12,0,199,31,0,24,0,60,0,143,0,55,0,80,0,0,41,51,0,0,0,0,0,0,0,0,0,20,0,0,0,46,0,0,0,0,0,0,0,0,20,0,91,0,28,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,63,131,0,0,45,0,0,0,4,48,0,0,0,0,0,0,29,0,0,36,0,0,0,0,43,41,0,0,0,0,55,0,0,0,0,21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,40,0,0,0,0,0,0,0,0,0,0,113,0,0,0,17,0,0,53,0,0,0,0,0,11,0,71,84,0,0,0,0,0,0,38,0,43,0,21,42,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,16,0,0,0,0,0,0,21,0,0,10,0,9,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
"T13-15",1236,634,0,13,30,46,139,48,31,0,69,0,128,0,0,282,0,0,28,28,0,0,0,28,0,0,0,140,0,54,0,0,24,0,0,29,17,50,29,18,0,0,0,0,69,0,17,0,0,61,0,0,0,0,0,39,61,0,0,0,160,0,0,0,0,0,0,31,0,0,46,0,46,0,0,11,0,0,127,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,15,30,36,0,0,94,23,29,0,0,6,0,11,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,28,35,0,5,60,0,16,0,0,0,0,0,0,0,0,0,27,0,0,0,24,0,40,0,11,0,36,34,9,22,0,0,0,0,0,0,0,0,0,23,0,0,0,19,38,0,60,0,0,13,0,16,0,47,14,6,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,27,0,0,12,0,13,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,13,0,0,0,14,15,0,0,17,0,9,0,0
"T13-2-2",129,70,415,4,13,19,24,159,12,214,6,154,0,0,0,28,321,175,0,0,0,302,0,119,38,0,70,12,0,9,0,0,0,103,0,0,0,30,6,47,147,0,0,95,0,61,0,156,19,0,0,50,55,0,0,17,0,86,68,0,0,0,0,0,45,28,42,0,10,39,0,14,0,0,0,0,0,67,0,19,0,42,0,44,0,22,12,29,0,38,36,26,0,0,0,0,6,36,0,0,0,0,44,0,0,31,4,0,0,0,0,0,0,17,0,0,37,0,0,0,25,0,0,0,55,28,0,0,0,0,0,0,0,0,13,16,15,50,8,18,32,0,0,0,0,0,0,45,0,0,0,0,0,0,15,0,5,0,0,13,9,3,32,0,12,0,0,0,0,0,43,0,0,0,0,0,0,0,16,21,0,0,0,23,43,0,0,0,16,0,16,0,0,17,0,2,0,0,0,0,14,0,8,0,10,0,0,14,0,0,0,0,9,0,0,0,10,18,0,16,0,0,0,7,0,0,0,0,10,0,17,0,0,0,24,6,3,16,0,0,0,0,0,17,0,0,0,5,0,0,0,0,31,25,0,0,10,0,17,0,0,10,0,0,0,0,0,0,0,0,0,0,25,0,8,0,0,53,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,10,2,0,13,0,11,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T13-3",875,440,0,76,44,93,35,35,283,0,60,0,31,54,16,16,0,0,0,73,17,0,89,0,0,0,0,0,0,0,194,142,15,0,0,0,87,81,0,0,0,0,0,0,56,0,92,0,0,58,0,0,0,0,0,20,21,0,0,66,18,0,0,26,0,45,0,42,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,9,0,47,0,0,33,0,8,0,0,0,0,0,56,33,0,51,0,0,32,0,0,0,0,52,18,95,0,54,0,0,0,14,0,0,78,0,0,0,0,0,0,0,0,0,0,13,0,24,0,0,0,0,49,0,40,23,30,31,25,34,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,20,0,0,0,18,0,27,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,64,0,0,0,12,0,0,0,0,0,0,0,0,23,0,34,0,0,26,0,0,0,0,0,0,16,0,0,0,0,15,0,0,0,13,0,31,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,54,0,0,0,22,0,17,0,24,0,0,25,48,0,0,0,0,0,0,0,0,0,0,0,0,27,0,66,0,0,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
