ID,Treatment,Age,TreatmentxAge,Abundance,ASV,Family,Genus
A-1,Algae,Day 01,AlgaeDay 01,0,ASV7,Rhodobacteraceae,Celeribacter
A-15,Algae,Day 15,AlgaeDay 15,9,ASV7,Rhodobacteraceae,Celeribacter
A-3,Algae,Day 03,AlgaeDay 03,0,ASV7,Rhodobacteraceae,Celeribacter
A-6,Algae,Day 06,AlgaeDay 06,229,ASV7,Rhodobacteraceae,Celeribacter
T1-1,Control,Day 01,ControlDay 01,13,ASV7,Rhodobacteraceae,Celeribacter
T1-15,Control,Day 15,ControlDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T1-3,Control,Day 03,ControlDay 03,34,ASV7,Rhodobacteraceae,Celeribacter
T1-6,Control,Day 06,ControlDay 06,53,ASV7,Rhodobacteraceae,Celeribacter
T1-S-1,Control,Spat,ControlSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T1-S-2,Control,Spat,ControlSpat,8,ASV7,Rhodobacteraceae,Celeribacter
T13-1,Control,Day 01,ControlDay 01,0,ASV7,Rhodobacteraceae,Celeribacter
T13-15,Control,Day 15,ControlDay 15,12,ASV7,Rhodobacteraceae,Celeribacter
T13-2-2,Control,Spat,ControlSpat,7,ASV7,Rhodobacteraceae,Celeribacter
T13-3,Control,Day 03,ControlDay 03,39,ASV7,Rhodobacteraceae,Celeribacter
T13-6,Control,Day 06,ControlDay 06,20,ASV7,Rhodobacteraceae,Celeribacter
T13-S-1,Control,Spat,ControlSpat,19,ASV7,Rhodobacteraceae,Celeribacter
T14-1,Probiotics,Day 01,ProbioticsDay 01,395,ASV7,Rhodobacteraceae,Celeribacter
T14-15,Probiotics,Day 15,ProbioticsDay 15,33,ASV7,Rhodobacteraceae,Celeribacter
T14-2-2,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T14-3,Probiotics,Day 03,ProbioticsDay 03,89,ASV7,Rhodobacteraceae,Celeribacter
T14-6,Probiotics,Day 06,ProbioticsDay 06,15,ASV7,Rhodobacteraceae,Celeribacter
T14-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T15-15,Probiotics HT,Day 15,Probiotics HTDay 15,27,ASV7,Rhodobacteraceae,Celeribacter
T15-2,Probiotics HT,Day 01,Probiotics HTDay 01,614,ASV7,Rhodobacteraceae,Celeribacter
T15-3,Probiotics HT,Day 03,Probiotics HTDay 03,113,ASV7,Rhodobacteraceae,Celeribacter
T15-6,Probiotics HT,Day 06,Probiotics HTDay 06,34,ASV7,Rhodobacteraceae,Celeribacter
T15-S-2,Probiotics HT,Spat,Probiotics HTSpat,19,ASV7,Rhodobacteraceae,Celeribacter
T17-15,High temperature,Day 15,High temperatureDay 15,12,ASV7,Rhodobacteraceae,Celeribacter
T17-2,High temperature,Day 01,High temperatureDay 01,145,ASV7,Rhodobacteraceae,Celeribacter
T17-3,High temperature,Day 03,High temperatureDay 03,262,ASV7,Rhodobacteraceae,Celeribacter
T17-6,High temperature,Day 06,High temperatureDay 06,10,ASV7,Rhodobacteraceae,Celeribacter
T19-3,Control,Day 03,ControlDay 03,296,ASV7,Rhodobacteraceae,Celeribacter
T19-6,Control,Day 06,ControlDay 06,14,ASV7,Rhodobacteraceae,Celeribacter
T2-1,Probiotics,Day 01,ProbioticsDay 01,1245,ASV7,Rhodobacteraceae,Celeribacter
T2-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T2-3,Probiotics,Day 03,ProbioticsDay 03,101,ASV7,Rhodobacteraceae,Celeribacter
T2-6,Probiotics,Day 06,ProbioticsDay 06,23,ASV7,Rhodobacteraceae,Celeribacter
T2-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T2-S-2,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T20-1,Probiotics,Day 01,ProbioticsDay 01,1221,ASV7,Rhodobacteraceae,Celeribacter
T20-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T20-3,Probiotics,Day 03,ProbioticsDay 03,229,ASV7,Rhodobacteraceae,Celeribacter
T20-6,Probiotics,Day 06,ProbioticsDay 06,20,ASV7,Rhodobacteraceae,Celeribacter
T20-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T20-S-2,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T21-1,Probiotics HT,Day 01,Probiotics HTDay 01,389,ASV7,Rhodobacteraceae,Celeribacter
