"Sample.ID","Treatment","Age","Genetics","Organism","Sample.type"
"T1-1","T1-1","Control","Day 01","1","Pacific oyster","Larvae"
"T1-15","T1-15","Control","Day 15","1","Pacific oyster","Larvae"
"T1-3","T1-3","Control","Day 03","1","Pacific oyster","Larvae"
"T1-6","T1-6","Control","Day 06","1","Pacific oyster","Larvae"
"T1-S-1","T1-S-1","Control","Spat","1","Pacific oyster","Spat"
"T1-S-2","T1-S-2","Control","Spat","1","Pacific oyster","Spat"
"T13-1","T13-1","Control","Day 01","3","Pacific oyster","Larvae"
"T13-15","T13-15","Control","Day 15","3","Pacific oyster","Larvae"
"T13-2-2","T13-2-2","Control","Spat","3","Pacific oyster","Spat"
"T13-3","T13-3","Control","Day 03","3","Pacific oyster","Larvae"
"T13-6","T13-6","Control","Day 06","3","Pacific oyster","Larvae"
"T13-S-1","T13-S-1","Control","Spat","3","Pacific oyster","Spat"
"T14-1","T14-1","Probiotics","Day 01","3","Pacific oyster","Larvae"
"T14-15","T14-15","Probiotics","Day 15","3","Pacific oyster","Larvae"
"T14-2-2","T14-2-2","Probiotics","Spat","3","Pacific oyster","Spat"
"T14-3","T14-3","Probiotics","Day 03","3","Pacific oyster","Larvae"
"T14-6","T14-6","Probiotics","Day 06","3","Pacific oyster","Larvae"
"T14-S-1","T14-S-1","Probiotics","Spat","3","Pacific oyster","Spat"
"T15-15","T15-15","Probiotics + HT","Day 15","3","Pacific oyster","Larvae"
"T15-2","T15-2","Probiotics + HT","Day 01","3","Pacific oyster","Larvae"
"T15-3","T15-3","Probiotics + HT","Day 03","3","Pacific oyster","Larvae"
"T15-S-2","T15-S-2","Probiotics + HT","Spat","3","Pacific oyster","Spat"
"T17-15","T17-15","High temperature","Day 15","3","Pacific oyster","Larvae"
"T17-2","T17-2","High temperature","Day 01","3","Pacific oyster","Larvae"
"T17-3","T17-3","High temperature","Day 03","3","Pacific oyster","Larvae"
"T17-6","T17-6","High temperature","Day 06","3","Pacific oyster","Larvae"
"T19-3","T19-3","Control","Day 03","4","Pacific oyster","Larvae"
"T19-6","T19-6","Control","Day 06","4","Pacific oyster","Larvae"
"T2-1","T2-1","Probiotics","Day 01","1","Pacific oyster","Larvae"
"T2-15","T2-15","Probiotics","Day 15","1","Pacific oyster","Larvae"
"T2-3","T2-3","Probiotics","Day 03","1","Pacific oyster","Larvae"
"T2-6","T2-6","Probiotics","Day 06","1","Pacific oyster","Larvae"
"T2-S-1","T2-S-1","Probiotics","Spat","1","Pacific oyster","Spat"
"T2-S-2","T2-S-2","Probiotics","Spat","1","Pacific oyster","Spat"
"T20-1","T20-1","Probiotics","Day 01","4","Pacific oyster","Larvae"
"T20-15","T20-15","Probiotics","Day 15","4","Pacific oyster","Larvae"
"T20-3","T20-3","Probiotics","Day 03","4","Pacific oyster","Larvae"
"T20-6","T20-6","Probiotics","Day 06","4","Pacific oyster","Larvae"
"T20-S-1","T20-S-1","Probiotics","Spat","4","Pacific oyster","Spat"
"T20-S-2","T20-S-2","Probiotics","Spat","4","Pacific oyster","Spat"
"T21-1","T21-1","Probiotics + HT","Day 01","4","Pacific oyster","Larvae"
"T21-15","T21-15","Probiotics + HT","Day 15","4","Pacific oyster","Larvae"
"T21-3","T21-3","Probiotics + HT","Day 03","4","Pacific oyster","Larvae"
"T21-6","T21-6","Probiotics + HT","Day 06","4","Pacific oyster","Larvae"
"T21-S-1","T21-S-1","Probiotics + HT","Spat","4","Pacific oyster","Spat"
"T21-S-2","T21-S-2","Probiotics + HT","Spat","4","Pacific oyster","Spat"
"T3-1","T3-1","Probiotics + HT","Day 01","1","Pacific oyster","Larvae"
"T3-15","T3-15","Probiotics + HT","Day 15","1","Pacific oyster","Larvae"
"T3-3","T3-3","Probiotics + HT","Day 03","1","Pacific oyster","Larvae"
"T3-6","T3-6","Probiotics + HT","Day 06","1","Pacific oyster","Larvae"
"T3-S-1","T3-S-1","Probiotics + HT","Spat","1","Pacific oyster","Spat"
"T3-S-2","T3-S-2","Probiotics + HT","Spat","1","Pacific oyster","Spat"
"T7-15","T7-15","Control","Day 15","2","Pacific oyster","Larvae"
"T7-3","T7-3","Control","Day 03","2","Pacific oyster","Larvae"
"T7-6","T7-6","Control","Day 06","2","Pacific oyster","Larvae"
"T7-S-1","T7-S-1","Control","Spat","2","Pacific oyster","Spat"
"T7-S-2","T7-S-2","Control","Spat","2","Pacific oyster","Spat"
"T8-1","T8-1","Probiotics","Day 01","2","Pacific oyster","Larvae"
"T8-15","T8-15","Probiotics","Day 15","2","Pacific oyster","Larvae"
"T8-3","T8-3","Probiotics","Day 03","2","Pacific oyster","Larvae"
"T8-S-1","T8-S-1","Probiotics","Spat","2","Pacific oyster","Spat"
"T8-S-2","T8-S-2","Probiotics","Spat","2","Pacific oyster","Spat"
"T9-1","T9-1","Probiotics + HT","Day 01","2","Pacific oyster","Larvae"
"T9-15","T9-15","Probiotics + HT","Day 15","2","Pacific oyster","Larvae"
"T9-3","T9-3","Probiotics + HT","Day 03","2","Pacific oyster","Larvae"
"T9-6","T9-6","Probiotics + HT","Day 06","2","Pacific oyster","Larvae"
"T9-S-1","T9-S-1","Probiotics + HT","Spat","2","Pacific oyster","Spat"
"T9-S-2","T9-S-2","Probiotics + HT","Spat","2","Pacific oyster","Spat"
